cid,cname,section,activity,chours,gender,status,days,time,location,fexamday,fexamtime,fexamdate,instructor
200 ريض,حساب التفاضل والتكامل (لطلبةالفيزياء والحاسب),32347,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  12:00 م - 12:50 م'],['  0140 04 1 A 107'],4,01:00 م - 04:00 م,1443-11-02,محمد مأمون تركاوي
200 ريض,حساب التفاضل والتكامل (لطلبةالفيزياء والحاسب),32348,تمارين,,الرياض- طلاب,مفتوحة,['4'],['  05:00 م - 06:50 م'],['  0160 31 1 B 082'],---,---,---,وائل مصطفى احمد مصطفى
101 عرب,المهارات اللغوية,2033,محاضرة,2,الرياض- طلاب,مغلقة,['3'],['  10:00 ص - 11:50 ص'],['  0146 32 G A 085'],3,08:00 ص - 10:00 ص,1443-11-01,جعفر جاسم محمد صولان
101 عرب,المهارات اللغوية,3234,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  10:00 ص - 11:50 ص'],['  0101 67 G B 003'],3,08:00 ص - 10:00 ص,1443-11-01,مشارى سعود سريع الحافى العتيبى
101 عرب,المهارات اللغوية,3243,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  10:00 ص - 11:50 ص'],['  0101 67 G B 041'],3,08:00 ص - 10:00 ص,1443-11-01,عيد فرحان مشهد العنزى
101 عرب,المهارات اللغوية,3255,محاضرة,2,الرياض- طلاب,مغلقة,['3'],['  01:00 م - 02:50 م'],['  0101 67 G B 005'],3,08:00 ص - 10:00 ص,1443-11-01,يحيى زين يحيى خطار
101 عرب,المهارات اللغوية,4622,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  01:00 م - 02:50 م'],['  0110 16 1 A 016'],3,08:00 ص - 10:00 ص,1443-11-01,يحيى زين يحيى خطار
101 عرب,المهارات اللغوية,4674,محاضرة,2,الرياض- طلاب,مفتوحة,['4'],['  10:00 ص - 11:50 ص'],['  0110 16 1 B 064'],3,08:00 ص - 10:00 ص,1443-11-01,مشارى سعود سريع الحافى العتيبى
101 عرب,المهارات اللغوية,4694,محاضرة,2,الرياض- طلاب,مفتوحة,['4'],['  10:00 ص - 11:50 ص'],['  0110 16 1 B 075'],3,08:00 ص - 10:00 ص,1443-11-01,جعفر جاسم محمد صولان
101 عرب,المهارات اللغوية,4716,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  10:00 ص - 11:50 ص'],['  0110 16 1 B 007'],3,08:00 ص - 10:00 ص,1443-11-01,سعد بن أحمد بن عيضه المطرفي
101 عرب,المهارات اللغوية,10678,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  08:00 ص - 09:50 ص'],['  0110 16 1 B 064'],3,08:00 ص - 10:00 ص,1443-11-01,سلمان زيد سليمان الجربوع
101 عرب,المهارات اللغوية,11175,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  01:00 م - 02:50 م'],['  0101 67 G B 137'],3,08:00 ص - 10:00 ص,1443-11-01,دخيل غنيم حسين العواد
101 عرب,المهارات اللغوية,12254,محاضرة,2,الرياض- طلاب,مغلقة,['4'],['  01:00 م - 02:50 م'],['  0115 14 1 A 041'],3,08:00 ص - 10:00 ص,1443-11-01,سعد بن أحمد بن عيضه المطرفي
101 عرب,المهارات اللغوية,17717,محاضرة,2,الرياض- طلاب,مفتوحة,['4'],['  08:00 ص - 09:50 ص'],['  0110 16 1 B 008'],3,08:00 ص - 10:00 ص,1443-11-01,مشارى سعود سريع الحافى العتيبى
101 عرب,المهارات اللغوية,34697,محاضرة,2,الرياض- طلاب,مفتوحة,['1'],['  03:00 م - 04:50 م'],['  0145 03 1 A 032'],3,08:00 ص - 10:00 ص,1443-11-01,ماجد محمد عبدالله الماجد
101 عرب,المهارات اللغوية,42326,محاضرة,2,الرياض- طلاب,مفتوحة,['4'],['  10:00 ص - 11:50 ص'],['  0188 88 1 F 052'],3,08:00 ص - 10:00 ص,1443-11-01,عبدالعزيز عبدالله صالح الرومى
101 عرب,المهارات اللغوية,47620,محاضرة,2,الرياض- طلاب,مفتوحة,['1'],['  01:00 م - 02:50 م'],[' '],3,08:00 ص - 10:00 ص,1443-11-01,يحيى زين يحيى خطار
101 عرب,المهارات اللغوية,50663,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  01:00 م - 02:50 م'],['  0101 67 G B 121'],3,08:00 ص - 10:00 ص,1443-11-01,جعفر جاسم محمد صولان
101 عرب,المهارات اللغوية,52993,محاضرة,2,الرياض- طلاب,مفتوحة,['4'],['  10:00 ص - 11:50 ص'],[' '],3,08:00 ص - 10:00 ص,1443-11-01,فواز عبدالله صالح الجريسي
101 عرب,المهارات اللغوية,52994,محاضرة,2,الرياض- طلاب,مفتوحة,['3'],['  10:00 ص - 11:50 ص'],[' '],3,08:00 ص - 10:00 ص,1443-11-01,حسام عبدالله ابراهيم المجلى
101 عرب,المهارات اللغوية,56931,محاضرة,2,الرياض- طلاب,مغلقة,['2'],['  10:00 ص - 11:50 ص'],['  0101 67 G B 137'],3,08:00 ص - 10:00 ص,1443-11-01,حسام عبدالله ابراهيم المجلى
101 عرب,المهارات اللغوية,59925,محاضرة,2,الرياض- طلاب,مفتوحة,['2'],['  10:00 ص - 11:50 ص'],['  0101 67 G B 054'],3,08:00 ص - 10:00 ص,1443-11-01,بليغ محمد عبدالله المشعان
101 عرب,المهارات اللغوية,59926,محاضرة,2,الرياض- طلاب,مفتوحة,['3'],['  10:00 ص - 11:50 ص'],[' '],3,08:00 ص - 10:00 ص,1443-11-01,عبدالعزيز عبدالله صالح الرومى
101 عرب,المهارات اللغوية,59927,محاضرة,2,الرياض- طلاب,مغلقة,['2'],['  10:00 ص - 11:50 ص'],[' '],3,08:00 ص - 10:00 ص,1443-11-01,سلمان زيد سليمان الجربوع
101 عرب,المهارات اللغوية,63227,محاضرة,2,الرياض- طلاب,مفتوحة,['4'],['  08:00 ص - 09:50 ص'],['  0110 16 1 B 064'],3,08:00 ص - 10:00 ص,1443-11-01,بليغ محمد عبدالله المشعان
491 نال,موضوعات مختارة فى نظم المعلومات,73346,محاضرة,3,الرياض- طلاب,مفتوحة,"['3', '1']","['  01:00 م - 01:50 م', '  01:00 م - 02:50 م']","['  0160 31 1 A 013', '  0160 31 1 A 013']",2,08:00 ص - 11:00 ص,1443-11-07,فيصل عبدالعزيز عبدالرحمن المسند
324 احص,الاحتمالات والاحصاء الهندسي,64474,محاضرة,3,الرياض- طلاب,مغلقة,['2 4'],['  12:00 م - 12:50 م'],['  0140 04 1 B 027'],4,01:00 م - 03:00 م,1443-11-09,عبدالرحمن سليمان الرزيزاء العنقرى
324 احص,الاحتمالات والاحصاء الهندسي,64476,تمارين,,الرياض- طلاب,مغلقة,['4'],['  05:00 م - 06:50 م'],['  0140 04 1 B 027'],---,---,---,عمادالدين محمد إبراهيم محمد
254 ريض,الطرائق العددية,5582,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  08:00 ص - 08:50 ص'],['  0140 04 1 A 097'],2,01:00 م - 04:00 م,1443-10-29,بندر عبدالله ناصر بن محسن
254 ريض,الطرائق العددية,20499,تمارين,,الرياض- طلاب,مفتوحة,['1'],['  05:00 م - 06:50 م'],['  0140 04 1 A 070'],---,---,---,عبدالعظيم حامد محمد يعقوب
254 ريض,الطرائق العددية,5586,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  10:00 ص - 10:50 ص'],['  0140 04 G A 146'],2,01:00 م - 04:00 م,1443-10-29,محمد بن حمده عبدالواحد
254 ريض,الطرائق العددية,20500,تمارين,,الرياض- طلاب,مغلقة,['1'],['  03:00 م - 04:50 م'],['  0140 04 1 A 097'],---,---,---,عبدالعظيم حامد محمد يعقوب
254 ريض,الطرائق العددية,5591,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  09:00 ص - 09:50 ص'],['  0140 04 1 A 075'],2,01:00 م - 04:00 م,1443-10-29,رضوان بوت
254 ريض,الطرائق العددية,20501,تمارين,,الرياض- طلاب,مغلقة,['4'],['  01:00 م - 02:50 م'],['  0140 04 1 A 070'],---,---,---,خالد ابراهيم احمد نوار
254 ريض,الطرائق العددية,5598,محاضرة,3,الرياض- طلاب,مفتوحة,"['4', '2']","['  10:00 ص - 10:50 ص', '  10:00 ص - 11:50 ص']","['  0140 04 1 B 045/1', '  0140 04 1 B 045/1']",2,01:00 م - 04:00 م,1443-10-29,شاه محمد ديل كبير
254 ريض,الطرائق العددية,20502,تمارين,,الرياض- طلاب,مفتوحة,['3'],['  01:00 م - 02:50 م'],['  0140 04 1 A 070'],---,---,---,خالد ابراهيم احمد نوار
254 ريض,الطرائق العددية,34769,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  01:00 م - 01:50 م'],['  0140 04 1 A 075'],2,01:00 م - 04:00 م,1443-10-29,محمد بن حمده عبدالواحد
254 ريض,الطرائق العددية,34770,تمارين,,الرياض- طلاب,مغلقة,['1'],['  03:00 م - 04:50 م'],['  0140 04 1 A 070'],---,---,---,محمد رسمى محمد ابوالريش
254 ريض,الطرائق العددية,53172,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  01:00 م - 01:50 م'],['  0160 31 1 A 022'],2,01:00 م - 04:00 م,1443-10-29,رضوان بوت
