cid,cname,section,activity,chours,gender,status,days,time,location,fexamday,fexamtime,fexamdate,instructor
200 ريض,حساب التفاضل والتكامل (لطلبةالفيزياء والحاسب),32347,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  12:00 م - 12:50 م'],['  0140 04 1 A 107'],4,01:00 م - 04:00 م,1443-11-02,محمد مأمون تركاوي
200 ريض,حساب التفاضل والتكامل (لطلبةالفيزياء والحاسب),32348,تمارين,,الرياض- طلاب,مفتوحة,['4'],['  05:00 م - 06:50 م'],['  0160 31 1 B 082'],---,---,---,وائل مصطفى احمد مصطفى
324 احص,الاحتمالات والاحصاء الهندسي,64474,محاضرة,3,الرياض- طلاب,مغلقة,['2 4'],['  12:00 م - 12:50 م'],['  0140 04 1 B 027'],4,01:00 م - 03:00 م,1443-11-09,عبدالرحمن سليمان الرزيزاء العنقرى
324 احص,الاحتمالات والاحصاء الهندسي,64476,تمارين,,الرياض- طلاب,مغلقة,['4'],['  05:00 م - 06:50 م'],['  0140 04 1 B 027'],---,---,---,عمادالدين محمد إبراهيم محمد
254 ريض,الطرائق العددية,5582,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  08:00 ص - 08:50 ص'],['  0140 04 1 A 097'],2,01:00 م - 04:00 م,1443-10-29,بندر عبدالله ناصر بن محسن
254 ريض,الطرائق العددية,20499,تمارين,,الرياض- طلاب,مفتوحة,['1'],['  05:00 م - 06:50 م'],['  0140 04 1 A 070'],---,---,---,عبدالعظيم حامد محمد يعقوب
254 ريض,الطرائق العددية,5586,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  10:00 ص - 10:50 ص'],['  0140 04 G A 146'],2,01:00 م - 04:00 م,1443-10-29,محمد بن حمده عبدالواحد
254 ريض,الطرائق العددية,20500,تمارين,,الرياض- طلاب,مغلقة,['1'],['  03:00 م - 04:50 م'],['  0140 04 1 A 097'],---,---,---,عبدالعظيم حامد محمد يعقوب
254 ريض,الطرائق العددية,5591,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  09:00 ص - 09:50 ص'],['  0140 04 1 A 075'],2,01:00 م - 04:00 م,1443-10-29,رضوان بوت
254 ريض,الطرائق العددية,20501,تمارين,,الرياض- طلاب,مغلقة,['4'],['  01:00 م - 02:50 م'],['  0140 04 1 A 070'],---,---,---,خالد ابراهيم احمد نوار
254 ريض,الطرائق العددية,5598,محاضرة,3,الرياض- طلاب,مفتوحة,"['4', '2']","['  10:00 ص - 10:50 ص', '  10:00 ص - 11:50 ص']","['  0140 04 1 B 045/1', '  0140 04 1 B 045/1']",2,01:00 م - 04:00 م,1443-10-29,شاه محمد ديل كبير
254 ريض,الطرائق العددية,20502,تمارين,,الرياض- طلاب,مفتوحة,['3'],['  01:00 م - 02:50 م'],['  0140 04 1 A 070'],---,---,---,خالد ابراهيم احمد نوار
254 ريض,الطرائق العددية,34769,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  01:00 م - 01:50 م'],['  0140 04 1 A 075'],2,01:00 م - 04:00 م,1443-10-29,محمد بن حمده عبدالواحد
254 ريض,الطرائق العددية,34770,تمارين,,الرياض- طلاب,مغلقة,['1'],['  03:00 م - 04:50 م'],['  0140 04 1 A 070'],---,---,---,محمد رسمى محمد ابوالريش
254 ريض,الطرائق العددية,53172,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  01:00 م - 01:50 م'],['  0160 31 1 A 022'],2,01:00 م - 04:00 م,1443-10-29,رضوان بوت
254 ريض,الطرائق العددية,53173,تمارين,,الرياض- طلاب,مفتوحة,['4'],['  03:00 م - 04:50 م'],['  0140 04 1 A 073'],---,---,---,محمد رسمى محمد ابوالريش
254 ريض,الطرائق العددية,53174,محاضرة,3,الرياض- طلاب,مغلقة,"['5', '1 3']","['  02:00 م - 02:50 م', '  02:00 م - 02:50 م']","['  0140 04 1 B 048', '  0140 04 1 B 040']",2,01:00 م - 04:00 م,1443-10-29,محمد بن حمده عبدالواحد
254 ريض,الطرائق العددية,53175,تمارين,,الرياض- طلاب,مغلقة,['1'],['  03:00 م - 04:50 م'],['  0140 04 1 A 075'],---,---,---,موسى رحمه جادالله عجال
254 ريض,الطرائق العددية,80546,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  02:00 م - 02:50 م'],['  0140 04 1 B 027'],2,01:00 م - 04:00 م,1443-10-29,رضوان بوت
254 ريض,الطرائق العددية,80547,تمارين,,الرياض- طلاب,مغلقة,['1'],['  03:00 م - 04:50 م'],['  0140 04 1 A 111'],---,---,---,خالد ابراهيم احمد نوار
254 ريض,الطرائق العددية,80548,محاضرة,3,الرياض- طلاب,مغلقة,"['1 3', '5']","['  08:00 ص - 08:50 ص', '  08:00 ص - 08:50 ص']","['  0140 04 1 B 027', '  0140 04 1 B 040']",2,01:00 م - 04:00 م,1443-10-29,شاه محمد ديل كبير
254 ريض,الطرائق العددية,80549,تمارين,,الرياض- طلاب,مغلقة,['1'],['  05:00 م - 06:50 م'],['  0140 04 1 B 045/1'],---,---,---,موسى رحمه جادالله عجال
227 عال,نظم التشغيل,12320,محاضرة,3,الرياض- طلاب,مفتوحة,"['2', '4']","['  10:00 ص - 10:50 ص', '  10:00 ص - 11:50 ص']","['  0160 31 1 A 064', '  0160 31 1 A 064']",4,01:00 م - 04:00 م,1443-11-16,رشيد سعيد صمودة
227 عال,نظم التشغيل,12321,تمارين,,الرياض- طلاب,مفتوحة,['2'],['  11:00 ص - 11:50 ص'],['  0160 31 1 A 064'],---,---,---,احمد محمد زكي عبدالرؤوف الرجوب
227 عال,نظم التشغيل,12322,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  10:00 ص - 10:50 ص'],['  0160 31 1 A 026'],4,01:00 م - 04:00 م,1443-11-16,مجدل سلطان مجدل بن سفران
227 عال,نظم التشغيل,12323,تمارين,,الرياض- طلاب,مغلقة,['1'],['  04:00 م - 04:50 م'],['  0160 31 1 A 018'],---,---,---,محمد جاويد يوسف
227 عال,نظم التشغيل,12326,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  11:00 ص - 11:50 ص'],['  0160 31 1 A 001'],4,01:00 م - 04:00 م,1443-11-16,احمد محمد زكي عبدالرؤوف الرجوب
227 عال,نظم التشغيل,12327,تمارين,,الرياض- طلاب,مفتوحة,['4'],['  03:00 م - 03:50 م'],['  0160 31 1 A 022'],---,---,---,احمد محمد زكي عبدالرؤوف الرجوب
227 عال,نظم التشغيل,12328,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  08:00 ص - 08:50 ص'],['  0160 31 1 A 001'],4,01:00 م - 04:00 م,1443-11-16,محمد جاويد يوسف
227 عال,نظم التشغيل,12329,تمارين,,الرياض- طلاب,مفتوحة,['2'],['  03:00 م - 03:50 م'],['  0160 31 1 A 003'],---,---,---,احمد محمد زكي عبدالرؤوف الرجوب
227 عال,نظم التشغيل,35565,محاضرة,3,الرياض- طلاب,مفتوحة,"['2', '4']","['  08:00 ص - 08:50 ص', '  08:00 ص - 09:50 ص']","['  0160 31 1 A 001', '  0160 31 1 A 001']",4,01:00 م - 04:00 م,1443-11-16,رشيد سعيد صمودة
227 عال,نظم التشغيل,35566,تمارين,,الرياض- طلاب,مفتوحة,['2'],['  09:00 ص - 09:50 ص'],['  0160 31 1 A 001'],---,---,---,محمد جاويد يوسف
227 عال,نظم التشغيل,35605,محاضرة,3,الرياض- طلاب,مغلقة,['1 3 5'],['  09:00 ص - 09:50 ص'],['  0160 31 1 A 026'],4,01:00 م - 04:00 م,1443-11-16,مجدل سلطان مجدل بن سفران
227 عال,نظم التشغيل,35606,تمارين,,الرياض- طلاب,مغلقة,['5'],['  04:00 م - 04:50 م'],['  0160 31 1 A 022'],---,---,---,محمد جاويد يوسف
227 عال,نظم التشغيل,37639,محاضرة,3,الرياض- طلاب,مفتوحة,['1 3 5'],['  10:00 ص - 10:50 ص'],['  0160 31 1 A 060'],4,01:00 م - 04:00 م,1443-11-16,محمد جاويد يوسف
227 عال,نظم التشغيل,37640,تمارين,,الرياض- طلاب,مفتوحة,['3'],['  02:00 م - 02:50 م'],['  0160 31 1 A 001'],---,---,---,احمد محمد زكي عبدالرؤوف الرجوب
227 عال,نظم التشغيل,67068,محاضرة,3,الرياض- طلاب,مفتوحة,"['4', '2']","['  08:00 ص - 08:50 ص', '  08:00 ص - 09:50 ص']","['  0160 31 1 A 018', '  0160 31 1 A 018']",4,01:00 م - 04:00 م,1443-11-16,احمد محمد زكي عبدالرؤوف الرجوب
227 عال,نظم التشغيل,67069,تمارين,,الرياض- طلاب,مفتوحة,['4'],['  09:00 ص - 09:50 ص'],['  0160 31 1 A 011'],---,---,---,احمد محمد زكي عبدالرؤوف الرجوب
103 فيز,فيزياء عامة (1),20134,محاضرة,4,الرياض- طلاب,مفتوحة,['1 3 5'],['  08:00 ص - 08:50 ص'],['  0140 04 1 B 030'],3,01:00 م - 04:00 م,1443-11-01,سعد علي عبدالله القرنى
103 فيز,فيزياء عامة (1),20135,عملي,,الرياض- طلاب,مفتوحة,['2'],['  08:00 ص - 09:50 ص'],[' '],---,---,---,لم يحدد من الكلية
103 فيز,فيزياء عامة (1),74082,عملي,,الرياض- طلاب,مفتوحة,['2'],['  08:00 ص - 09:50 ص'],[' '],---,---,---,لم يحدد من الكلية
